s 9
t 10
E 2
V 15
e 0 1 2
e 2 0 1
e 0 3 1
e 4 0 2
e 8 0 1
e 12 0 2
e 13 0 4
e 1 4 1
e 5 1 1
e 1 6 1
e 1 7 3
e 1 10 2
e 1 12 3
e 2 3 5
e 7 2 3
e 11 2 1
e 12 2 2
e 13 2 2
e 3 6 1
e 3 7 2
e 3 9 1
e 3 10 3
e 11 3 1
e 3 12 1
e 14 3 2
e 5 4 2
e 8 4 1
e 12 4 4
e 13 4 1
e 4 14 4
e 6 5 1
e 7 5 3
e 8 5 1
e 5 9 3
e 5 10 1
e 5 11 1
e 14 5 1
e 8 6 2
e 9 6 2
e 6 11 2
e 8 7 1
e 10 7 1
e 7 11 3
e 7 12 1
e 9 8 4
e 10 8 1
e 8 11 1
e 13 8 2
e 13 9 2
e 14 9 1
e 10 11 4
e 12 10 2
e 10 13 2
e 14 10 1
e 13 11 1
e 11 14 1
e 12 13 2
e 13 14 3
